# Arm length:          0  mm
# Shutter size:        0.0  mm
# Soller size:         0.0 бу
# Start theta:         10.0 бу
# Stop theta:          80.0 бу
# Increment:           0.0100002289 бу
# Exposure time:       0.1 s
# Frames:              7400
2Theta(бу)	         Counts
10.00837	         1512.95274
10.01851	         1542.27085
10.02865	         1560.18703
10.03879	         1568.91576
10.04892	         1565.77085
10.05906	         1551.52482
10.06920	         1518.99086
10.07933	         1528.72732
10.08947	         1554.09560
10.09961	         1555.76507
10.10975	         1521.52655
10.11988	         1503.00868
10.13002	         1525.79192
10.14016	         1576.03107
10.15029	         1590.53240
10.16043	         1573.25254
10.17057	         1568.29887
10.18070	         1606.01757
10.19084	         1637.73139
10.20098	         1625.63943
10.21111	         1620.51053
10.22125	         1614.73416
10.23139	         1601.59717
10.24152	         1593.79747
10.25166	         1585.38353
10.26180	         1575.06506
10.27193	         1568.84417
10.28207	         1569.06439
10.29221	         1574.89775
10.30234	         1578.87618
10.31248	         1574.56583
10.32261	         1582.37730
10.33275	         1593.49867
10.34289	         1587.14558
10.35302	         1574.64040
10.36316	         1539.98382
10.37330	         1539.95125
10.38343	         1581.66338
10.39357	         1603.41256
10.40370	         1595.27548
10.41384	         1593.72785
10.42398	         1591.88127
10.43411	         1600.87473
10.44425	         1582.05341
10.45438	         1530.55358
10.46452	         1498.19209
10.47466	         1507.57369
10.48479	         1542.69539
10.49493	         1571.65792
10.50506	         1569.57818
10.51520	         1535.98099
10.52534	         1503.81353
10.53547	         1505.55514
10.54561	         1525.95781
10.55574	         1543.98844
10.56588	         1554.76832
10.57601	         1558.11372
10.58615	         1537.90097
10.59629	         1516.59661
10.60642	         1501.14404
10.61656	         1499.90391
10.62669	         1516.23821
10.63683	         1524.17483
10.64696	         1518.89721
10.65710	         1518.55690
10.66723	         1547.15320
10.67737	         1571.96644
10.68750	         1573.34803
10.69764	         1570.09006
10.70778	         1574.97210
10.71791	         1570.39134
10.72805	         1549.00977
10.73818	         1530.86957
10.74832	         1534.37061
10.75845	         1561.61347
10.76859	         1580.75651
10.77872	         1565.22805
10.78886	         1537.82768
10.79899	         1509.33377
10.80913	         1475.93016
10.81926	         1468.97921
10.82940	         1488.87088
10.83953	         1511.01275
