# Arm length:          0  mm
# Shutter size:        0.0  mm
# Soller size:         0.0 бу
# Start theta:         10.0 бу
# Stop theta:          70.0 бу
# Increment:           0.0100002289 бу
# Exposure time:       0.1 s
# Frames:              6400
2Theta(бу)	         Counts
10.00158	         3952.94956
10.01158	         3956.07441
10.02158	         3936.88263
10.03158	         3941.69894
10.04158	         3970.82444
10.05158	         3992.52687
10.06158	         3998.15421
10.07158	         4011.31966
10.08158	         4022.85471
10.09158	         4018.34843
10.10158	         4031.35222
10.11158	         4073.93684
10.12158	         4116.46883
10.13158	         4115.00357
10.14158	         4075.39696
10.15158	         4006.55450
10.16158	         3935.68942
10.17158	         3936.14204
10.18158	         4020.41001
10.19158	         4089.48155
10.20158	         4114.01848
10.21158	         4123.67257
10.22158	         4104.64666
10.23158	         4031.02169
10.24158	         3998.24981
10.25158	         4039.57961
10.26158	         4082.12162
10.27158	         4104.12696
10.28158	         4142.52818
10.29158	         4202.84033
10.30158	         4215.26663
10.31158	         4153.20432
10.32158	         4097.39467
10.33158	         4090.19737
10.34158	         4075.13729
10.35158	         4052.31688
10.36158	         4063.27937
10.37158	         4113.83800
10.38158	         4134.07945
10.39159	         4133.57876
10.40159	         4179.05943
10.41159	         4211.42779
10.42159	         4179.17925
10.43159	         4117.03195
10.44159	         4069.54786
10.45159	         4075.01636
10.46159	         4101.87808
10.47159	         4124.90601
10.48159	         4156.55021
10.49159	         4188.12499
10.50159	         4211.71045
10.51159	         4206.52208
10.52159	         4173.69126
10.53159	         4146.00331
10.54159	         4159.28211
10.55159	         4188.36387
10.56159	         4217.52544
10.57159	         4233.41364
10.58159	         4230.96129
10.59159	         4192.14753
10.60159	         4159.58901
10.61159	         4174.51053
10.62159	         4206.03409
10.63159	         4204.20786
10.64159	         4205.24329
10.65159	         4241.27160
10.66159	         4276.36320
10.67159	         4283.63830
10.68159	         4281.41212
10.69159	         4274.38194
10.70159	         4300.07532
10.71159	         4331.06233
10.72159	         4321.48148
10.73159	         4299.18997
10.74159	         4295.31412
10.75159	         4290.15205
10.76159	         4274.92323
10.77159	         4241.65087
10.78159	         4265.59637
10.79159	         4328.31473
10.80159	         4363.58128
10.81159	         4348.79440
10.82160	         4313.32746
10.83160	         4275.85882
10.84160	         4264.94530
10.85160	         4283.67781
10.86160	         4307.23788
10.87160	         4324.20301
10.88160	         4308.37066
10.89160	         4277.60375
10.90160	         4272.38869
10.91160	         4300.18180
10.92160	         4343.18099
10.93160	         4376.15759
10.94160	         4379.57108
10.95160	         4373.75853
10.96160	         4366.53282
10.97160	         4365.00328
10.98160	         4376.11218
10.99160	         4389.44281
11.00160	         4420.32255
11.01160	         4417.02416
11.02160	         4383.92581
11.03160	         4374.03928
11.04160	         4412.71995
11.05160	         4436.01794
11.06160	         4410.63272
11.07160	         4374.82021
11.08160	         4338.98365
11.09160	         4295.72254
11.10160	         4297.16581
11.11160	         4311.95666
11.12160	         4332.67372
11.13160	         4351.60920
11.14160	         4365.50858
11.15160	         4382.10009
11.16160	         4384.32056
11.17160	         4380.38182
11.18160	         4363.92002
11.19160	         4345.74184
11.20160	         4344.34373
11.21160	         4346.65023
11.22160	         4353.82963
11.23160	         4370.84632
11.24160	         4382.05210
11.25160	         4386.59868
11.26161	         4359.70194
11.27161	         4302.01974
11.28161	         4262.94645
11.29161	         4266.55137
11.30161	         4299.80032
11.31161	         4333.27577
11.32161	         4367.62759
11.33161	         4374.54613
11.34161	         4347.38428
11.35161	         4318.61085
11.36161	         4346.78821
11.37161	         4388.96302
11.38161	         4417.46832
11.39161	         4413.38665
11.40161	         4361.66254
11.41161	         4304.85086
11.42161	         4313.60455
11.43161	         4367.34794
11.44161	         4408.39200
11.45161	         4440.62611
11.46161	         4466.85612
11.47161	         4454.70754
11.48161	         4404.05712
11.49161	         4344.60178
11.50161	         4311.76948
11.51161	         4314.83324
11.52161	         4341.00966
11.53161	         4396.41462
