# Arm length:          0  mm
# Shutter size:        0.0  mm
# Soller size:         0.0 бу
# Start theta:         10.0 бу
# Stop theta:          80.0 бу
# Increment:           0.0100002289 бу
# Exposure time:       0.1 s
# Frames:              7400
2Theta(бу)	         Counts
10.00837	         105.33002
10.01851	         104.26656
10.02865	         108.90369
10.03879	         124.31648
10.04892	         139.97608
10.05906	         146.75089
10.06920	         144.97747
10.07933	         139.16112
10.08947	         132.45731
10.09961	         127.77995
10.10975	         124.15238
10.11988	         120.41580
10.13002	         118.73528
10.14016	         115.01029
10.15029	         109.75645
10.16043	         106.57266
10.17057	         108.30807
10.18070	         111.36514
10.19084	         114.56238
10.20098	         116.49947
10.21111	         121.04113
10.22125	         125.06630
10.23139	         128.28046
10.24152	         130.08826
10.25166	         129.36721
10.26180	         126.03983
10.27193	         123.22672
10.28207	         124.48964
10.29221	         124.99445
10.30234	         129.36530
10.31248	         132.95246
10.32261	         131.27364
10.33275	         122.83815
10.34289	         111.15080
10.35302	         109.49235
10.36316	         117.15938
10.37330	         125.13243
10.38343	         125.39654
10.39357	         123.57667
10.40370	         120.27757
10.41384	         118.83107
10.42398	         122.48143
10.43411	         128.31329
10.44425	         126.23765
10.45438	         117.34471
10.46452	         111.90842
10.47466	         118.80750
10.48479	         129.14168
10.49493	         125.10737
10.50506	         112.50157
10.51520	         103.95334
10.52534	         104.63380
10.53547	         110.60780
10.54561	         116.05728
10.55574	         122.01075
10.56588	         125.98698
10.57601	         129.10364
10.58615	         127.58199
10.59629	         125.58299
10.60642	         119.63041
10.61656	         111.09145
10.62669	         107.80026
10.63683	         109.57096
10.64696	         112.72093
10.65710	         115.78132
10.66723	         117.99698
10.67737	         118.57694
10.68750	         116.76872
10.69764	         116.28862
10.70778	         121.67832
10.71791	         127.21244
10.72805	         126.85915
10.73818	         121.31648
10.74832	         114.58663
10.75845	         108.68466
10.76859	         105.23808
10.77872	         104.01763
10.78886	         112.29079
10.79899	         118.45988
10.80913	         115.56889
10.81926	         104.55628
10.82940	         98.38266
10.83953	         97.32305
10.84967	         99.27756
10.85980	         105.00590
10.86994	         112.81292
10.88007	         118.40746
10.89021	         122.32881
10.90034	         126.30582
10.91048	         127.25487
10.92061	         123.37408
10.93075	         120.21743
10.94088	         122.87390
10.95101	         124.93526
10.96115	         124.09418
10.97128	         120.13765
10.98142	         118.14109
10.99155	         117.49485
11.00169	         117.99114
11.01182	         108.16122
11.02196	         101.30126
11.03209	         103.69222
11.04223	         112.83283
11.05236	         118.18652
11.06249	         117.67150
11.07263	         115.06266
11.08276	         118.88076
11.09290	         125.83561
11.10303	         126.11841
11.11317	         121.70566
11.12330	         123.40670
11.13343	         126.79554
11.14357	         126.57334
11.15370	         121.10522
11.16384	         115.03148
11.17397	         112.94845
11.18410	         121.88413
11.19424	         136.66595
11.20437	         147.31379
11.21451	         147.12448
11.22464	         135.38490
11.23477	         124.38357
11.24491	         124.82172
11.25504	         128.09118
11.26518	         127.40129
11.27531	         121.32940
11.28544	         113.48492
11.29558	         112.94658
11.30571	         119.73209
11.31584	         130.39486
11.32598	         133.71439
11.33611	         121.84326
11.34625	         107.12224
11.35638	         103.61545
11.36651	         113.15412
11.37665	         123.66450
11.38678	         123.52933
11.39691	         116.01112
11.40705	         109.03803
11.41718	         111.40985
11.42731	         117.36488
11.43745	         121.42601
11.44758	         127.27189
11.45771	         128.90553
11.46785	         124.74439
11.47798	         123.88253
11.48811	         126.13250
11.49825	         123.84268
11.50838	         114.00170
11.51851	         104.74046
11.52865	         100.76402
11.53878	         99.41883
11.54891	         103.41986
