# Arm length:          0  mm
# Shutter size:        0.0  mm
# Soller size:         0.0 бу
# Start theta:         10.0 бу
# Stop theta:          70.0 бу
# Increment:           0.0100002289 бу
# Exposure time:       0.1 s
# Frames:              6400
2Theta(бу)	         Counts
10.00837	         1465.42644
10.01851	         1494.07620
10.02865	         1502.25449
10.03879	         1475.50866
10.04892	         1455.28828
10.05906	         1452.61079
10.06920	         1449.18551
10.07933	         1407.80567
10.08947	         1368.55220
10.09961	         1377.50094
10.10975	         1415.16772
10.11988	         1423.20893
10.13002	         1434.04409
10.14016	         1446.74004
10.15029	         1434.01782
10.16043	         1406.23374
10.17057	         1406.22874
10.18070	         1440.62592
10.19084	         1479.84040
10.20098	         1506.44158
10.21111	         1515.04627
10.22125	         1510.94199
10.23139	         1518.25627
10.24152	         1529.44561
10.25166	         1530.45048
10.26180	         1524.94041
10.27193	         1499.96785
10.28207	         1460.43986
10.29221	         1425.94251
10.30234	         1401.18370
10.31248	         1381.74013
10.32261	         1378.47462
10.33275	         1400.92154
10.34289	         1420.66455
10.35302	         1437.94706
10.36316	         1445.69927
10.37330	         1433.09874
10.38343	         1425.77789
10.39357	         1431.07990
10.40370	         1414.74275
10.41384	         1401.63712
10.42398	         1402.41578
10.43411	         1395.86650
10.44425	         1422.49368
10.45438	         1451.35586
10.46452	         1446.01777
10.47466	         1425.53769
10.48479	         1410.15307
10.49493	         1411.07218
10.50506	         1423.30133
10.51520	         1419.63710
10.52534	         1404.44026
10.53547	         1401.00614
10.54561	         1410.35632
10.55574	         1424.48156
10.56588	         1443.23856
10.57601	         1449.33839
10.58615	         1438.06282
10.59629	         1415.07250
10.60642	         1401.35864
10.61656	         1394.26045
10.62669	         1398.10739
10.63683	         1415.00531
10.64696	         1433.44981
10.65710	         1476.35660
10.66723	         1517.22935
10.67737	         1524.48828
10.68750	         1480.83798
10.69764	         1433.92028
10.70778	         1428.22991
10.71791	         1446.96364
10.72805	         1447.44307
10.73818	         1447.34052
10.74832	         1454.74635
10.75845	         1457.37987
10.76859	         1470.90735
10.77872	         1492.07410
10.78886	         1505.70892
10.79899	         1497.53160
10.80913	         1477.10830
10.81926	         1455.84125
10.82940	         1430.30218
10.83953	         1416.47242
10.84967	         1418.41072
10.85980	         1418.73969
10.86994	         1426.12595
10.88007	         1444.40401
10.89021	         1451.62591
10.90034	         1423.39507
10.91048	         1388.25623
10.92061	         1372.65906
10.93075	         1367.78873
10.94088	         1372.66820
10.95101	         1378.57049
10.96115	         1374.63186
10.97128	         1374.28722
10.98142	         1382.71256
10.99155	         1378.38232
11.00169	         1387.48181
11.01182	         1423.96030
11.02196	         1459.97647
11.03209	         1466.72287
11.04223	         1451.50092
11.05236	         1441.02154
11.06249	         1436.75012
11.07263	         1419.04186
11.08276	         1404.71410
11.09290	         1418.44609
11.10303	         1437.33569
11.11317	         1452.96261
11.12330	         1457.60074
11.13343	         1434.45303
11.14357	         1420.53796
11.15370	         1410.28487
11.16384	         1392.46820
11.17397	         1366.39631
11.18410	         1352.26005
11.19424	         1366.21664
11.20437	         1385.64260
11.21451	         1396.23536
11.22464	         1409.89171
11.23477	         1417.47875
11.24491	         1421.06572
11.25504	         1429.86957
11.26518	         1442.22857
11.27531	         1450.48030
11.28544	         1440.48599
11.29558	         1401.63921
11.30571	         1367.49662
11.31584	         1353.08160
11.32598	         1356.81423
11.33611	         1380.09461
11.34625	         1405.81888
11.35638	         1410.98962
11.36651	         1385.37554
11.37665	         1378.07519
11.38678	         1393.65122
11.39691	         1417.92972
11.40705	         1434.22158
11.41718	         1442.72347
11.42731	         1450.61175
11.43745	         1447.86342
11.44758	         1437.01725
11.45771	         1429.26664
11.46785	         1406.35253
11.47798	         1390.15148
11.48811	         1408.38215
11.49825	         1433.11810
11.50838	         1427.87874
11.51851	         1391.45019
11.52865	         1366.89229
11.53878	         1368.48427
11.54891	         1385.58998
11.55904	         1397.79681
11.56918	         1406.71370
11.57931	         1411.41140
11.58944	         1400.84992
11.59958	         1367.37117
11.60971	         1328.97369
11.61984	         1313.35366
11.62997	         1316.54986
11.64011	         1323.95864
11.65024	         1311.80872
11.66037	         1310.21494
11.67051	         1323.23142
11.68064	         1343.44664
11.69077	         1354.16488
11.70090	         1358.43611
11.71104	         1342.57105
11.72117	         1319.39572
11.73130	         1291.80027
11.74143	         1278.74689
11.75157	         1285.75551
11.76170	         1309.19806
11.77183	         1318.33130
11.78196	         1311.15277
11.79210	         1316.31913
11.80223	         1322.76049
11.81236	         1317.73020
11.82249	         1329.46544
11.83263	         1334.86469
11.84276	         1302.86041
11.85289	         1265.46216
11.86302	         1269.33729
11.87315	         1306.88133
11.88329	         1348.10929
11.89342	         1353.38057
11.90355	         1337.89944
11.91368	         1324.20300
11.92381	         1324.45392
11.93395	         1338.78548
11.94408	         1347.71936
11.95421	         1342.67403
11.96434	         1326.02014
11.97447	         1291.61108
11.98461	         1266.40619
11.99474	         1259.40511
12.00487	         1252.04083
12.01500	         1243.76187
12.02513	         1247.95861
12.03526	         1252.90381
12.04540	         1257.73930
12.05553	         1259.81071
12.06566	         1251.29468
12.07579	         1249.78023
12.08592	         1264.25432
12.09605	         1295.00077
12.10619	         1305.00287
12.11632	         1283.03545
12.12645	         1246.33321
12.13658	         1237.73135
12.14671	         1251.79533
12.15684	         1258.71756
12.16697	         1250.41428
12.17711	         1246.59227
12.18724	         1243.28911
12.19737	         1239.73508
12.20750	         1237.27311
12.21763	         1239.22946
12.22776	         1247.92730
12.23789	         1276.97980
12.24802	         1304.42089
12.25816	         1313.90228
12.26829	         1311.54852
12.27842	         1290.63988
12.28855	         1269.86616
12.29868	         1262.23900
12.30881	         1251.25806
12.31894	         1239.60542
12.32907	         1236.20231
12.33920	         1228.46954
12.34933	         1224.15373
12.35947	         1235.29049
12.36960	         1262.80809
12.37973	         1302.77388
12.38986	         1329.82028
12.39999	         1322.99662
12.41012	         1301.96147
12.42025	         1285.63416
12.43038	         1281.63658
12.44051	         1294.03772
12.45064	         1300.95578
12.46077	         1300.92287
12.47090	         1307.60522
12.48103	         1321.53153
12.49116	         1322.15488
12.50129	         1322.52712
12.51142	         1319.26961
12.52156	         1303.94487
12.53169	         1276.56628
12.54182	         1239.63005
12.55195	         1208.82820
12.56208	         1207.08401
12.57221	         1221.71982
12.58234	         1244.12421
12.59247	         1293.07540
12.60260	         1353.97207
12.61273	         1398.81781
12.62286	         1449.88446
12.63299	         1526.21259
12.64312	         1663.93065
12.65325	         2008.02535
12.66338	         2728.18425
12.67351	         3789.91625
12.68364	         4771.58403
12.69377	         5298.32780
12.70390	         5571.58746
12.71403	         5929.52813
12.72416	         6427.01907
12.73429	         7442.53988
12.74442	         9394.90372
12.75455	         11242.73748
12.76468	         11354.41645
12.77481	         9920.67950
12.78494	         8403.05709
12.79507	         7046.23664
12.80520	         5365.97490
12.81532	         3714.60645
12.82545	         2628.66712
12.83558	         2077.40575
12.84571	         1811.17228
12.85584	         1694.41229
12.86597	         1662.79508
12.87610	         1659.73158
12.88623	         1640.66895
12.89636	         1620.61431
12.90649	         1625.02441
12.91662	         1639.07453
12.92675	         1653.73081
12.93688	         1669.37556
12.94701	         1677.75484
12.95714	         1658.21695
12.96727	         1634.98285
12.97740	         1637.95251
12.98752	         1665.78201
12.99765	         1709.18534
13.00778	         1735.13313
13.01791	         1728.13822
13.02804	         1693.30326
13.03817	         1662.44192
13.04830	         1642.47424
13.05843	         1618.93699
13.06856	         1602.27815
13.07869	         1617.79154
13.08881	         1602.38222
13.09894	         1552.36204
13.10907	         1543.72985
13.11920	         1586.87037
13.12933	         1635.34358
13.13946	         1638.30125
13.14959	         1594.05097
13.15972	         1542.62220
13.16984	         1525.45451
13.17997	         1511.53782
13.19010	         1491.01921
13.20023	         1484.39449
13.21036	         1503.70622
13.22049	         1518.98139
13.23062	         1529.60638
13.24074	         1531.42408
13.25087	         1522.73832
13.26100	         1501.17708
13.27113	         1495.00626
13.28126	         1505.78364
13.29139	         1535.68720
13.30151	         1560.77357
13.31164	         1565.86722
13.32177	         1548.45205
13.33190	         1525.26238
13.34203	         1497.87093
13.35216	         1476.91536
13.36228	         1483.71101
13.37241	         1493.89464
13.38254	         1503.63180
13.39267	         1523.89674
13.40280	         1542.55778
13.41292	         1552.85580
13.42305	         1542.35455
13.43318	         1521.92715
13.44331	         1488.08901
13.45344	         1460.98103
13.46356	         1467.67966
13.47369	         1494.66340
13.48382	         1523.74617
